Token Symbol|Swap|Token Contract|LP Pair Contract
BAO|Token|0x374cb8c27130e2c9e04f44303f3c8351b9de61c1|
BAO|UNI|0x374cb8c27130e2c9e04f44303f3c8351b9de61c1|0x9973bb0fe5f8df5de730776df09e946c74254fb3
wBTC|UNI|0x2260fac5e5542a773aa44fbcfedf7c193bc2c599|0xbb2b8038a1640196fbe3e38816f3e67cba72d940
Tether|UNI|0xdac17f958d2ee523a2206206994597c13d831ec7|0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ChainLink|UNI|0x514910771af9ca656af840dff83e8264ecf986ca|0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
USDC|UNI|0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48|0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
cDAI|UNI|0x5d3a536e4d6dbd6114cc1ead35777bab948e3643|0x9896bd979f9da57857322cc15e154222c4658a5a
OKB|UNI|0x75231f58b43240c9718dd58b4967c5114342a86c|0x17782d58c715aa2a4458d5fb1c1d8e52a69a62fc
LEO|UNI|0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3|0x523a36ad73c402e456f49b04f0fe8eba5a8c85cd
DAI|UNI|0x6b175474e89094c44da98b954eedeac495271d0f|0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
UNI|UNI|0x1f9840a85d5af5bf1d1762f925bdaddc4201f984|0xd3d2e2692501a5c9ca623199d38826e513033a17
HT|UNI|0x6f259637dcd74c767781e37bc6133cd6a68aa161|0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67
AAVE|UNI|0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9|0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
CEL|UNI|0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d|0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
SNX|UNI|0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f|0x43ae24960e5534731fc831386c07755a2dc33d47
CRV|UNI|0xd533a949740bb3306d119cc777fa900ba034cd52|0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
YFI|UNI|0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e|0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
COMP|UNI|0xc00e94cb662c3520282e6f5717214004a7f26888|0xcffdded873554f362ac02f8fb1f02e5ada10516f
MKR|UNI|0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2|0xc2adda861f89bbb333c90c492cb837741916a225
UMA|UNI|0x04fa0d235c4abf4bcf4787af4cf447de572ef828|0x88d97d199b9ed37c29d846d00d443de980832a22
FTT|UNI|0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9|0xf04543fbf20daee9b0357db966428ef2a4ae0f5a
RENBTC|UNI|0xeb4c2781e4eba804ce9a9803c67d0893436bb27d|0x81fbef4704776cc5bba0a5df3a90056d2c6900b3
BAT|UNI|0x0d8775f648430679a709e98d2b0cb6250d2887ef|0xb6909b960dbbe7392d405429eb2b3649752b4838
TUSD|UNI|0x0000000000085d4780b73119b644ae5ecd22b376|0xb4d0d9df2738abe81b87b66c80851292492d1404
HUSD|UNI|0xdf574c24545e5ffecb9a659c229253d4111d87e1|0x8749068c5b45fdaa369319e5daa1e5f332419c6d
0x|UNI|0xe41d2489571d322189246dafa5ebde1f4699f498|0xc6f348dd3b91a56d117ec0071c1e9b83c0996de4
AETH|UNI|0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04|0x3343d8fd46ba0469db160a82386a826214cefcb6
OCEAN|UNI|0x967da4048cd07ab37855c090aaf366e4ce1b9f48|0x9b7dad79fc16106b47a3dab791f389c167e15eb0
KNC|UNI|0xdd974d5c2e2928dea5f71b9825b8b646686bd200|0xf49c43ae0faf37217bdcb00df478cf793edd6687
AMPL|UNI|0xd46ba6d942050d489dbd938a2c909a5d5039a161|0xc5be99a02c6857f9eac67bbce58df5572498f40c
wNXM|UNI|0x0d438f3b5175bebc262bf23753c1e53d03432bde|0x23bff8ca20aac06efdf23cee3b8ae296a30dfd27
RSR|UNI|0x8762db106b2c2a0bccb3a80d1ed41273552616e8|0xba65016890709dbc9491ca7bf5de395b8441dc8b
ENJ|UNI|0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c|0xe56c60b5f9f7b5fc70de0eb79c6ee7d00efa2625
BAND|UNI|0xba11d00c5f74255f56a5e366f4f77f5a186d7f55|0xf421c3f2e695c2d4c0765379ccace8ade4a480d9
NMR|UNI|0x1776e1f26f98b1a5df9cd347953a26dd3cb46671|0xb784ced6994c928170b417bbd052a096c6fb17e2
BAL|UNI|0xba100000625a3754423978a60c9317c58a424e3d|0xa70d458a4d9bc0e6571565faee18a48da5c0d593
NEXO|UNI|0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206|0x2615b89ad032ccda6d67e1d511f0e4c9e3a5dc13
ANT|UNI|0xa117000000f279d81a1d3cc75430faa017fa5a2e|0x9def9511fec79f83afcbffe4776b1d817dc775ae
MANA|UNI|0x0f5d2fb29fb7d3cfee444a200298f468908cc942|0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3
SNT|UNI|0x744d70fdbe2ba4cf95131626614a1763df805b9e|0x59e7bee6374a3f6ecb33180ece978fd4f2b7cea2
ESD|UNI|0x36f3fd68e7325a35eb768f1aedaae9ea0689d723|0x88ff79eb2bc5850f27315415da8685282c7610f9
yUSD|UNI|0x5dbcf33d8c2e976c6b560249878e6f1491bca25c|0x9346c20186d1794101b8517177a1b15c49c9ff9b
MATIC|UNI|0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0|0x819f3450da6f110ba6ea52195b3beafa246062de
PAXG|UNI|0x45804880de22913dafe09f4980848ece6ecbaf78|0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c
GT|UNI|0xe66747a101bff2dba3697199dcce5b743b454759|0x359c138b1666aa2167aafc205a841ff432a23040
SXP|UNI|0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9|0xac317d14738a454ff20b191ba3504aa97173045b
REP|UNI|0x1985365e9f78359a9b6ad760e32412f4a445e862|0xec2d2240d02a8cf63c3fa0b7d2c5a3169a319496
CIVIC|UNI|0x41e5560054824ea6b0732e656e3ad64e20e94e45|0x123fca7e8272a8e9c3bb7113c259abc4901e792b
HEGIC|UNI|0x584bc13c7d411c00c01a62e8019472de68768430|0x1273ad5d8f3596a7a39efdb5a4b8f82e8f003fc3
wFIL|UNI|0x6e1a19f235be7ed8e3369ef73b196c07257494de|0x4f9356293dda89a31a924fe1f867825b3adda4d8
HBTC|UNI|0x0316eb71485b0ab14103307bf65a021042c6d380|0xa6f4eae7fdaa20e632c45d4cd39e4f3961892322
cUNI|UNI|0x35a18000230da775cac24873d00ff85bccded550|0xf3ea2100e1b85772b76e342c955e22a01c970b8a
UOS|UNI|0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c|0x42d52847be255eacee8c3f96b3b223c0b3cc0438
UTRUST (UTK)|UNI|0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c|0xc0fc2e4cbaf48b36948971c4afd487a90272ddfe
SHR|UNI|0xd98f75b1a3261dab9eed4956c93f33749027a964|0xd045110c466ccb2e57eb426baae7ce869458f173
TITAN|UNI|0x3a8cccb969a61532d1e6005e2ce12c200caece87|0x8f8d924ce28e33227be5162577c9fae6b76e08e0
MPH|UNI|0x8888801af4d980682e47f1a9036e589479e835c5|0x4d96369002fc5b9687ee924d458a7e5baa5df34e
sUSD|UNI|0x57ab1ec28d129707052df4df418d58a2d46d5f51|0xf80758ab42c3b07da84053fd88804bcb6baa4b5c
MATH|UNI|0x08d967bb0134f2d07f7cfb6e246680c53927dd30|0x3006c0d2a6e54d3590a44384c6f066c9cf9a4cea
SRM|UNI|0x476c5e26a75bd202a9683ffd34359c0cc15be0ff|0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54
c0x|UNI|0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407|0xa249e650737af19a294ef4b5ace26394b8287a24
RPL|UNI|0xb4efd85c19999d84251304bda99e90b92300bd93|0x70ea56e46266f0137bac6b75710e3546f47c855d
STORJ|UNI|0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac|0xaef16913b6c50ebcf627a394921f306985fc8604
